[04-06-24 12:39:02.633979] Statistic gathering started
TIME	EVENT	CALLCNT	FILLCNT	AVGSIZE	MAXSIZE	AVGFULL	MAXFULL	AVGDLL	MAXDLL	AVGTRIP	MAXTRIP	AVGTEAP	MAXTEAP	AVGTSMR	MAXTSMR	MINTSMR
[12:39:02.637527]	OTHER	431	94	7	4	8	6	9	8	0	0	9	1	105	2	6
[12:39:02.637591]	ORDER	273	26	8	2	0	5	5	6	5	7	7	2	150	3	6
[12:39:02.637699]	ORDER	378	25	8	2	8	2	0	0	5	6	1	1	113	8	9
[12:39:02.637778]	ORDER	428	10	10	10	6	10	4	0	2	10	0	5	117	6	10
[12:39:02.637859]	ORDER	221	84	3	5	6	4	2	1	9	6	7	6	118	7	1
[12:39:02.637945]	ORDER	463	13	10	6	8	8	0	0	1	10	5	10	213	5	3
[12:39:02.638122]	ORDER	383	51	1	1	7	9	2	1	9	3	4	9	164	5	9
[12:39:02.638233]	OTHER	596	96	4	3	6	3	4	7	7	1	10	6	108	8	8
[12:39:02.638306]	QUEUE	226	54	3	8	4	10	6	3	1	6	3	9	121	5	6
[12:39:02.638385]	ORDER	416	20	5	10	8	8	3	10	2	2	6	9	126	3	10
[12:39:02.638470]	OTHER	355	16	8	1	10	10	3	10	5	5	9	3	122	0	0
[12:39:02.638561]	QUEUE	301	77	0	10	8	9	6	7	1	6	4	3	111	9	6
[12:39:02.638634]	OTHER	329	83	1	1	4	9	6	10	0	9	9	5	211	4	3
[12:39:02.638823]	QUEUE	577	11	9	5	9	7	3	7	6	7	7	3	208	3	0
[12:39:02.638999]	QUEUE	462	45	4	0	10	1	5	8	4	5	8	1	112	4	4
[12:39:02.639077]	ORDER	354	38	4	3	0	1	7	1	1	0	0	0	169	9	4
[12:39:02.639209]	OTHER	528	23	1	0	3	4	9	2	4	10	1	10	120	7	9
[12:39:02.639291]	QUEUE	212	7	4	9	8	0	7	7	10	0	6	7	159	7	2
[12:39:02.639408]	ORDER	570	66	2	0	6	0	3	0	4	6	3	8	120	2	3
[12:39:02.639490]	OTHER	295	46	6	3	5	1	4	2	0	8	3	2	110	7	3
[12:39:02.639559]	OTHER	363	75	10	3	5	10	2	9	10	10	6	9	166	3	1
[12:39:02.639679]	OTHER	354	85	3	0	9	7	1	0	3	0	5	2	124	10	2
[12:39:02.639763]	OTHER	585	59	1	3	4	10	3	0	10	3	4	8	120	0	10
[12:39:02.639871]	ORDER	394	80	9	0	6	8	6	5	3	2	0	6	113	4	8
[12:39:02.639951]	ORDER	236	13	4	2	9	6	8	3	1	4	8	9	136	4	0
[12:39:02.640042]	ORDER	244	99	4	0	9	9	10	5	6	10	10	1	106	2	6
[12:39:02.640114]	OTHER	283	19	0	10	6	6	3	6	1	4	5	10	162	8	8
[12:39:02.640247]	ORDER	537	92	8	10	8	9	6	2	1	9	8	9	101	9	6
[12:39:02.640312]	OTHER	248	54	6	3	6	1	7	3	4	7	9	6	116	9	9
[12:39:02.640392]	QUEUE	568	75	5	7	6	3	6	0	2	6	7	2	212	0	3
[12:39:02.640558]	OTHER	479	94	9	1	3	1	9	8	6	4	8	1	106	0	0
[12:39:02.640623]	QUEUE	309	70	8	8	8	6	0	10	6	2	4	4	139	6	8
[12:39:02.640713]	QUEUE	524	9	5	4	10	5	2	9	8	4	9	6	135	0	10
[12:39:02.640805]	QUEUE	256	35	5	2	8	4	3	9	2	8	0	10	127	10	6
[12:39:02.640881]	ORDER	551	13	3	9	9	7	1	7	1	9	9	4	105	8	0
[12:39:02.640942]	OTHER	455	34	2	1	6	5	6	2	8	9	3	4	134	9	9
[12:39:02.641029]	OTHER	563	77	2	2	7	1	9	5	9	5	8	8	130	3	10
[12:39:02.641109]	QUEUE	284	100	8	10	8	6	0	2	10	3	2	10	101	6	4
[12:39:02.641168]	ORDER	356	86	5	6	4	1	3	7	6	2	4	3	143	8	6
[12:39:02.641259]	ORDER	265	58	1	8	2	6	7	8	1	2	4	8	126	9	3
[12:39:02.641337]	ORDER	264	87	3	4	9	4	1	0	10	2	5	6	121	7	3
[12:39:02.641411]	ORDER	392	91	1	8	2	4	7	9	9	2	5	8	113	4	0
[12:39:02.641480]	ORDER	380	80	5	8	8	1	8	2	7	8	6	5	184	7	5
[12:39:02.641620]	OTHER	273	8	9	1	6	1	10	2	2	7	5	7	104	3	9
[12:39:02.641681]	OTHER	256	88	0	4	10	8	7	9	8	7	7	6	146	5	9
[12:39:02.641774]	OTHER	275	69	3	3	5	4	9	9	5	4	3	0	213	10	0
[12:39:02.641927]	OTHER	419	11	1	7	3	5	9	7	2	0	4	5	121	5	1
[12:39:02.642000]	ORDER	540	95	1	3	9	2	4	3	5	7	2	2	104	7	1
[12:39:02.642059]	QUEUE	588	94	5	8	10	8	6	9	9	2	0	5	192	4	8
[12:39:02.642186]	OTHER	560	30	7	9	10	8	7	9	3	8	2	3	115	4	7
[12:39:02.642254]	QUEUE	396	38	2	5	6	1	3	3	5	1	3	8	115	1	3
[12:39:02.642321]	ORDER	598	67	3	7	7	3	1	5	0	4	0	9	108	10	1
[12:39:02.642383]	ORDER	237	47	1	10	1	7	2	5	7	1	4	8	105	1	5
[12:39:02.642447]	QUEUE	254	67	5	8	10	7	10	4	3	0	2	8	139	9	2
[12:39:02.642537]	ORDER	598	93	5	10	4	2	2	8	0	10	4	5	142	6	3
[12:39:02.642630]	ORDER	571	47	2	3	10	9	8	6	7	9	0	7	132	2	8
[12:39:02.642715]	OTHER	414	22	8	0	4	3	7	3	2	7	4	1	113	9	5
[12:39:02.642794]	OTHER	574	49	8	3	5	8	10	1	9	2	7	2	133	9	3
[12:39:02.642881]	OTHER	241	70	5	2	0	1	7	2	7	9	9	0	117	7	6
[12:39:02.642958]	ORDER	441	30	9	8	0	1	8	3	3	0	9	6	263	7	6
[12:39:02.643166]	OTHER	314	25	8	9	7	4	9	2	10	2	6	7	104	0	0
[12:39:02.643260]	QUEUE	244	20	3	10	10	6	8	5	1	4	0	10	109	0	2
[12:39:02.643332]	ORDER	580	37	2	7	9	10	6	1	2	10	8	6	104	7	7
[12:39:02.643395]	QUEUE	552	21	8	9	10	3	4	6	0	3	5	7	122	5	8
[12:39:02.643470]	ORDER	405	45	1	9	2	6	2	5	3	10	2	10	141	10	4
[12:39:02.643562]	QUEUE	509	66	7	5	7	9	3	10	10	9	2	1	124	6	2
[12:39:02.643651]	QUEUE	374	65	9	5	1	9	6	10	1	8	4	9	120	8	1
[12:39:02.643731]	ORDER	247	51	9	9	5	1	4	10	8	3	10	10	152	1	6
[12:39:02.643837]	ORDER	485	63	5	2	10	2	3	2	2	4	4	0	113	2	5
[12:39:02.643905]	ORDER	546	26	10	5	1	1	6	4	10	1	7	5	119	1	8
[12:39:02.643977]	OTHER	563	91	3	9	0	5	8	6	0	2	6	6	108	8	8
[12:39:02.644044]	QUEUE	586	25	0	6	6	2	1	6	8	9	9	9	116	9	7
[12:39:02.644114]	OTHER	234	70	1	6	7	9	1	9	1	10	3	9	160	3	3
[12:39:02.644226]	QUEUE	474	40	2	4	9	1	10	5	6	5	5	6	115	8	1
[12:39:02.644296]	QUEUE	577	79	5	6	9	1	1	6	6	3	7	4	170	0	4
[12:39:02.644420]	ORDER	537	76	1	1	1	7	2	7	10	2	1	10	157	8	10
[12:39:02.644539]	QUEUE	542	46	7	0	6	8	6	4	1	6	4	4	214	9	10
[12:39:02.644693]	QUEUE	341	56	10	8	5	8	2	8	2	9	8	0	112	7	4
[12:39:02.644761]	OTHER	486	39	7	2	1	6	4	9	0	1	0	8	146	5	8
[12:39:02.644863]	ORDER	438	64	7	5	10	3	10	7	4	2	4	5	106	5	3
[12:39:02.644927]	ORDER	523	44	9	7	9	0	8	2	4	2	5	7	110	3	1
[12:39:02.644992]	QUEUE	577	59	2	8	6	0	2	8	5	7	8	5	102	3	1
[12:39:02.645051]	OTHER	506	73	2	10	9	7	9	8	8	4	9	3	119	4	9
[12:39:02.645123]	ORDER	431	6	7	10	9	9	1	9	7	5	7	0	152	9	0
[12:39:02.645227]	OTHER	536	76	6	5	0	2	9	9	0	1	2	10	123	4	0
[12:39:02.645308]	QUEUE	600	28	0	10	9	8	3	9	4	2	6	8	104	4	4
[12:39:02.645368]	ORDER	532	11	7	5	0	1	0	4	8	0	5	4	113	4	1
[12:39:02.645439]	OTHER	416	62	4	7	8	3	10	4	7	3	8	0	113	9	2
[12:39:02.645509]	OTHER	255	17	10	6	9	1	5	8	2	1	1	4	101	3	0
[12:39:02.645569]	OTHER	567	44	7	0	0	6	1	8	8	6	1	7	110	10	9
[12:39:02.645633]	QUEUE	385	29	0	5	2	10	9	1	5	0	7	2	169	3	8
[12:39:02.645749]	QUEUE	491	73	6	2	1	10	9	10	5	4	4	8	112	9	5
[12:39:02.645815]	OTHER	343	77	8	3	9	8	2	5	10	8	7	10	139	6	1
[12:39:02.645903]	ORDER	566	85	6	6	0	5	2	10	3	10	3	10	149	1	6
[12:39:02.646008]	OTHER	341	35	1	8	9	1	9	3	2	1	5	9	110	0	4
[12:39:02.646070]	OTHER	236	18	5	2	8	5	6	4	6	6	9	1	204	2	7
[12:39:02.646216]	OTHER	388	27	3	9	6	8	9	0	9	5	5	5	129	5	7
[12:39:02.646300]	ORDER	220	73	0	5	10	0	3	10	0	7	5	8	103	0	9
[12:39:02.646359]	QUEUE	267	11	7	9	8	2	0	6	6	4	0	10	173	7	4
[12:39:02.646648]	OTHER	366	91	7	7	6	0	9	6	2	0	9	6	123	6	9
[12:39:02.646745]	OTHER	285	70	2	6	2	10	2	5	9	1	1	8	129	9	0
[12:39:02.646831]	ORDER	519	25	9	7	10	7	10	3	8	7	5	9	119	3	8
[12:39:02.646900]	OTHER	286	75	0	2	5	1	1	1	5	8	4	0	123	9	9
[12:39:02.646982]	QUEUE	330	24	7	1	7	5	8	4	5	6	3	7	122	2	2
[12:39:02.647059]	QUEUE	410	71	2	1	7	1	0	8	3	9	7	1	135	2	8
[12:39:02.647189]	OTHER	519	43	8	0	1	2	0	0	10	2	7	1	180	3	9
[12:39:02.647319]	OTHER	201	85	2	0	1	8	2	8	3	0	4	4	132	7	6
[12:39:02.647404]	ORDER	413	41	1	9	3	6	0	2	8	8	7	6	242	4	4
[12:39:02.647592]	QUEUE	231	93	6	9	8	8	10	9	0	0	4	4	122	9	8
[12:39:02.647666]	OTHER	325	24	2	6	5	2	8	10	2	4	7	5	103	2	7
[12:39:02.647728]	ORDER	446	61	6	9	9	5	1	8	1	6	2	8	103	1	8
[12:39:02.647790]	ORDER	513	88	1	2	10	0	5	0	3	2	8	5	133	0	9
[12:39:02.647879]	QUEUE	554	88	2	0	5	2	0	0	9	3	7	7	115	3	2
[12:39:02.647949]	ORDER	389	66	8	6	3	0	2	3	9	0	3	7	128	3	3
[12:39:02.648032]	ORDER	240	18	8	2	7	8	9	1	7	5	6	4	110	5	1
[12:39:02.648095]	ORDER	520	58	3	3	0	1	7	5	6	2	2	2	110	4	9
[12:39:02.648159]	ORDER	308	53	10	5	0	7	10	8	10	1	3	6	116	9	10
[12:39:02.648232]	OTHER	415	99	10	4	3	5	5	5	0	9	7	3	101	5	5
[12:39:02.648293]	ORDER	280	35	6	0	9	8	9	8	8	5	6	1	123	2	9
[12:39:02.648370]	ORDER	205	34	4	3	1	2	10	1	3	3	4	5	104	0	10
[12:39:02.648428]	ORDER	215	28	0	2	5	9	5	8	9	1	4	0	166	6	1
[12:39:02.648535]	ORDER	529	31	8	10	3	7	0	10	2	7	5	4	112	8	8
[12:39:02.648600]	ORDER	452	32	6	8	2	4	3	6	5	5	6	4	124	0	10
[12:39:02.648680]	QUEUE	484	47	2	2	9	6	8	7	9	9	7	7	149	7	2
[12:39:02.648770]	QUEUE	288	5	0	5	4	10	3	6	7	9	5	7	155	5	6
[12:39:02.648870]	QUEUE	580	50	9	9	10	5	5	2	7	8	6	2	126	5	4
[12:39:02.648945]	ORDER	359	82	0	7	1	2	1	5	0	6	5	7	102	5	7
[12:39:02.649000]	QUEUE	388	51	3	5	10	9	8	8	4	9	3	5	136	0	1
[12:39:02.649079]	ORDER	375	13	4	5	3	2	8	7	4	7	2	3	113	10	0
[12:39:02.649143]	ORDER	417	94	10	10	4	9	5	4	10	0	10	10	112	8	7
[12:39:02.649210]	QUEUE	598	29	10	0	3	7	6	1	2	3	6	3	133	6	0
[12:39:02.649287]	QUEUE	245	70	6	10	8	8	0	8	7	5	10	9	105	6	8
[12:39:02.649345]	ORDER	451	54	8	2	2	4	3	1	4	8	10	7	106	1	4
[12:39:02.649402]	ORDER	383	95	6	3	9	0	6	0	6	4	10	8	120	5	8
[12:39:02.649469]	OTHER	248	31	4	7	2	1	7	4	1	9	6	1	106	8	6
[12:39:02.649526]	OTHER	572	30	2	6	3	9	2	5	4	6	6	4	135	3	9
[12:39:02.649608]	QUEUE	529	30	2	9	2	3	3	1	9	3	0	6	153	0	6
[12:39:02.649706]	QUEUE	340	85	5	7	5	8	6	10	7	7	8	5	105	10	6
[12:39:02.649764]	QUEUE	221	60	1	8	0	7	0	10	0	2	7	7	118	2	3
[12:39:02.649833]	ORDER	220	21	10	5	2	10	2	4	5	10	1	9	103	1	9
[12:39:02.649887]	ORDER	335	31	5	9	3	2	6	7	0	5	1	7	117	4	8
[12:39:02.649951]	ORDER	487	16	1	8	10	5	5	6	4	10	0	2	108	2	2
[12:39:02.650011]	OTHER	232	18	6	6	2	5	6	6	2	5	4	6	105	4	9
[12:39:02.650066]	OTHER	598	53	5	3	5	8	10	8	8	7	4	4	112	6	5
[12:39:02.650132]	OTHER	466	50	3	6	7	2	1	6	10	8	6	8	161	6	1
[12:39:02.650237]	OTHER	357	90	4	4	10	1	3	8	3	10	10	9	116	4	0
[12:39:02.650299]	QUEUE	239	27	5	8	6	4	4	2	8	6	4	6	116	5	1
[12:39:02.650361]	OTHER	593	6	2	2	6	2	5	2	2	0	9	4	127	5	3
[12:39:02.650438]	QUEUE	536	23	2	4	5	5	3	0	5	7	6	1	138	10	10
[12:39:02.650523]	QUEUE	388	37	2	9	10	7	6	10	8	8	4	2	184	5	1
[12:39:02.650638]	OTHER	476	87	0	5	10	1	9	5	2	2	8	3	106	6	2
[12:39:02.650697]	ORDER	458	40	1	9	10	5	10	3	1	3	10	0	111	3	0
[12:39:02.650757]	OTHER	442	35	6	4	2	5	3	0	3	6	0	4	110	8	0
[12:39:02.650817]	QUEUE	255	97	6	1	5	0	0	0	10	0	2	6	119	8	0
[12:39:02.650884]	QUEUE	520	16	3	8	4	0	6	8	6	10	4	8	120	1	6
[12:39:02.650953]	OTHER	444	74	8	0	9	1	6	9	3	9	4	4	143	7	0
[12:39:02.651035]	ORDER	385	9	7	9	4	0	9	1	7	4	5	0	110	3	9
[12:39:02.651095]	QUEUE	477	5	1	4	10	6	3	10	4	4	5	8	124	5	3
[12:39:02.651187]	ORDER	254	64	9	7	9	7	6	6	6	5	2	7	109	8	5
[12:39:02.651260]	OTHER	315	66	7	2	4	6	6	3	6	1	9	8	103	10	9
[12:39:02.651317]	QUEUE	528	68	6	3	7	5	6	4	5	4	10	6	144	0	6
[12:39:02.651410]	ORDER	514	48	7	1	6	7	2	7	5	4	5	0	126	9	4
[12:39:02.651479]	ORDER	445	96	10	1	0	9	1	9	9	4	10	8	106	2	6
[12:39:02.651536]	QUEUE	334	22	8	1	5	2	4	10	3	9	6	10	113	8	0
[12:39:02.651599]	QUEUE	515	27	7	10	8	0	1	7	0	3	5	9	105	2	0
[12:39:02.651654]	QUEUE	310	57	2	10	1	10	6	4	6	0	0	2	128	6	7
[12:39:02.651729]	ORDER	587	93	4	3	9	5	6	8	3	2	1	10	132	5	2
[12:39:02.651818]	OTHER	338	82	4	5	5	6	3	4	5	4	1	5	107	3	7
[12:39:02.651881]	ORDER	317	10	9	5	10	8	10	8	7	3	3	3	143	10	8
[12:39:02.651969]	ORDER	282	44	4	4	5	10	0	1	5	10	9	8	122	4	10
[12:39:02.652042]	OTHER	243	69	10	6	10	0	9	7	6	9	9	3	129	6	1
[12:39:02.652122]	ORDER	251	14	5	2	8	6	3	5	2	0	6	4	129	3	5
[12:39:02.652195]	OTHER	486	79	8	0	1	2	5	7	5	5	9	3	107	2	2
[12:39:02.652254]	QUEUE	337	51	8	0	1	9	0	8	9	7	10	9	186	8	0
[12:39:02.652375]	OTHER	226	5	5	7	7	2	10	4	9	8	3	8	148	6	6
[12:39:02.652460]	ORDER	341	92	2	2	0	8	10	3	2	3	2	4	127	1	5
[12:39:02.652533]	ORDER	287	38	7	6	0	3	2	1	4	9	1	7	130	3	1
[12:39:02.652612]	OTHER	389	14	1	0	3	5	1	7	1	1	6	0	125	0	8
[12:39:02.652687]	OTHER	370	11	6	8	8	4	7	3	1	1	10	7	169	3	3
[12:39:02.652797]	QUEUE	346	99	4	0	2	7	1	7	5	2	4	3	113	10	1
[12:39:02.652861]	OTHER	525	89	5	0	7	9	2	5	6	3	1	8	128	7	5
[12:39:02.652941]	ORDER	292	10	1	0	5	10	2	3	7	7	4	4	109	1	3
[12:39:02.652997]	QUEUE	577	84	7	9	8	3	3	8	3	4	8	0	107	4	10
[12:39:02.653057]	ORDER	460	74	2	4	10	3	7	5	2	2	4	0	162	5	4
[12:39:02.653156]	QUEUE	545	15	5	10	7	1	3	5	1	5	6	6	117	3	5
[12:39:02.653223]	QUEUE	499	69	6	0	2	9	1	7	7	5	0	3	129	3	9
[12:39:02.653300]	QUEUE	469	49	9	0	5	9	10	10	3	2	7	0	132	7	6
[12:39:02.653381]	OTHER	365	70	1	0	3	6	6	0	10	7	7	9	121	5	5
[12:39:02.653451]	OTHER	533	100	10	1	6	7	7	9	5	4	5	8	104	1	2
[12:39:02.653511]	ORDER	474	100	5	3	8	6	4	5	6	8	4	0	114	3	9
[12:39:02.653574]	ORDER	245	82	9	7	9	0	1	7	4	2	3	5	114	3	10
[12:39:02.653638]	ORDER	481	45	5	1	1	8	5	2	6	0	5	7	104	6	8
[12:39:02.653698]	OTHER	300	72	2	7	2	10	2	2	9	4	5	5	147	5	9
[12:39:02.653798]	OTHER	374	97	8	7	9	0	4	7	6	7	3	8	160	9	1
[12:39:02.653893]	OTHER	432	39	10	5	6	6	5	10	8	1	6	8	115	7	2
[12:39:02.653958]	OTHER	290	23	7	1	0	0	8	1	7	2	0	4	119	8	0
[12:39:02.654027]	ORDER	381	73	6	10	5	9	5	6	8	7	8	2	105	10	6
[12:39:02.654084]	QUEUE	282	58	0	3	10	9	4	8	10	10	3	9	125	10	7
[12:39:02.654154]	QUEUE	383	21	0	0	6	8	1	4	6	9	7	10	122	5	4
[12:39:02.654225]	OTHER	316	20	9	2	9	8	8	1	3	5	1	1	123	4	4
[12:39:02.654298]	QUEUE	269	94	1	1	0	8	10	2	9	1	8	5	166	9	3
[12:39:02.654400]	ORDER	400	17	0	9	2	8	9	10	8	5	4	8	117	9	10
[12:39:02.654469]	QUEUE	250	72	2	0	6	3	4	9	8	2	9	0	155	0	6
[12:39:02.654568]	QUEUE	597	62	2	6	9	7	8	0	7	3	4	4	108	10	5
[12:39:02.654629]	QUEUE	299	45	0	0	9	5	0	7	10	5	0	3	156	2	8
[12:39:02.654723]	ORDER	447	13	0	4	6	1	5	10	3	10	8	9	119	6	5
[12:39:02.654789]	OTHER	524	7	7	2	9	2	2	7	10	0	6	2	143	8	5
[12:39:02.654875]	OTHER	364	10	1	9	7	10	8	3	10	7	10	7	162	4	8
[12:39:02.654987]	QUEUE	519	82	4	5	5	7	0	1	2	0	7	4	102	9	4
[12:39:02.655042]	ORDER	590	25	0	6	10	5	2	10	4	6	8	5	117	10	1
[12:39:02.655126]	QUEUE	578	76	0	5	4	0	1	7	0	3	4	9	115	3	9
[12:39:02.655192]	ORDER	566	68	6	9	4	4	7	9	7	4	4	9	118	4	1
[12:39:02.655258]	OTHER	596	60	9	0	2	10	2	8	5	10	8	4	115	5	1
[12:39:02.655325]	ORDER	523	66	1	6	0	10	4	4	4	6	0	2	142	7	2
[12:39:02.655410]	QUEUE	562	18	0	1	0	2	2	0	7	6	3	3	114	0	7
[12:39:02.655473]	QUEUE	509	67	7	4	7	8	4	3	1	0	7	0	109	1	5
[12:39:02.655529]	ORDER	252	41	6	7	0	7	0	4	10	3	3	6	136	7	8
[12:39:02.655614]	OTHER	384	92	0	7	1	8	7	8	4	1	4	10	101	9	1
[12:39:02.655669]	ORDER	200	9	0	8	8	0	4	3	4	9	2	3	139	2	3
[12:39:02.655747]	QUEUE	522	73	8	5	4	10	1	1	0	7	6	7	195	7	4
[12:39:02.655888]	OTHER	519	69	5	5	2	0	10	7	2	4	9	1	165	8	4
[12:39:02.655993]	OTHER	595	38	5	2	0	10	3	2	3	6	9	3	121	9	8
[12:39:02.656065]	QUEUE	311	22	0	2	7	5	7	10	1	8	5	0	182	7	5
[12:39:02.656189]	QUEUE	219	8	10	8	6	4	1	3	1	8	7	0	110	10	4
[12:39:02.656248]	ORDER	337	85	0	9	3	5	9	3	5	10	9	2	104	2	0
[12:39:02.656306]	QUEUE	303	81	2	7	3	10	10	8	6	1	10	4	155	10	2
[12:39:02.656399]	OTHER	233	9	0	2	5	10	1	6	1	3	4	6	156	3	1
[12:39:02.656504]	QUEUE	266	32	10	2	7	9	10	1	6	5	6	6	133	9	3
[12:39:02.656589]	ORDER	412	73	0	0	1	7	4	7	8	10	9	1	126	4	9
[12:39:02.656660]	QUEUE	291	74	0	5	9	8	2	8	4	9	3	5	210	0	8
[12:39:02.656808]	ORDER	246	16	9	4	6	7	7	6	5	0	9	10	149	8	9
[12:39:02.656903]	OTHER	213	16	10	10	0	2	3	3	9	4	5	6	110	7	5
[12:39:02.656963]	QUEUE	249	32	10	0	4	3	1	2	2	9	7	3	116	1	5
[12:39:02.657032]	QUEUE	536	40	10	1	1	7	9	1	2	6	10	4	106	0	2
[12:39:02.657089]	QUEUE	365	66	3	1	9	2	5	4	9	5	3	7	101	9	3
[12:39:02.657145]	OTHER	505	5	10	9	5	8	6	4	4	2	10	8	128	8	8
[12:39:02.657261]	QUEUE	282	5	7	10	4	0	5	3	5	9	5	10	111	0	6
[12:39:02.657325]	ORDER	355	82	7	5	7	6	2	3	5	1	4	8	101	2	6
[12:39:02.657381]	QUEUE	559	19	10	9	2	9	5	1	9	8	9	9	200	3	9
[12:39:02.657521]	ORDER	224	97	5	10	4	1	3	9	1	3	5	6	112	7	5
[12:39:02.657584]	ORDER	541	58	5	10	6	4	7	3	9	3	10	5	154	5	3
[12:39:02.657686]	ORDER	490	58	7	6	7	0	2	9	9	9	2	2	116	8	9
[12:39:02.657749]	ORDER	525	76	10	4	3	4	1	4	2	8	3	4	122	6	2
[12:39:02.657816]	ORDER	266	85	5	6	1	9	1	1	10	5	7	6	102	8	8
[12:39:02.657871]	ORDER	209	44	6	2	9	5	6	3	7	0	9	8	222	0	6
[12:39:02.658019]	OTHER	391	72	7	10	2	4	5	2	0	0	0	1	104	9	0
[12:39:02.658075]	OTHER	391	25	10	8	8	3	6	5	6	5	8	5	135	1	9
[12:39:02.658154]	ORDER	399	10	3	4	5	10	0	1	9	4	3	0	131	9	4
[12:39:02.658233]	ORDER	395	98	0	0	9	8	2	6	0	5	0	5	116	9	2
[12:39:02.658299]	OTHER	470	12	9	0	6	4	10	4	6	5	6	9	138	9	10
[12:39:02.658379]	QUEUE	582	97	5	2	10	9	4	8	9	7	10	0	106	7	2
[12:39:02.658436]	OTHER	262	66	1	1	5	0	0	0	8	2	3	1	103	7	4
[12:39:02.658491]	QUEUE	490	40	6	8	9	5	10	3	0	4	8	7	147	9	7
[12:39:02.658585]	QUEUE	476	75	6	6	0	5	4	5	0	0	5	5	112	1	4
[12:39:02.658650]	QUEUE	236	99	2	6	2	9	0	1	2	10	8	6	160	4	4
[12:39:02.658748]	OTHER	536	67	8	10	2	8	9	2	9	1	1	8	107	10	0
[12:39:02.658806]	OTHER	314	89	8	4	4	7	1	8	5	10	10	2	138	9	10
[12:39:02.658887]	QUEUE	412	65	7	6	1	8	2	0	0	1	9	10	105	6	7
[12:39:02.658941]	OTHER	379	16	10	0	0	7	10	6	8	6	1	9	154	6	3
[12:39:02.659042]	OTHER	326	65	1	4	6	1	3	4	4	3	3	10	112	1	7
